phrase,label
Enciende los faros en bajo,FARO1
Prende los faros en bajo,FARO1
Activa los faros en bajo,FARO1
Pon los faros en bajo,FARO1
Faros en bajo activados,FARO1
Prende las luces en bajo,FARO1
Luz delantera en bajo,FARO1
Enciende las luces delanteras en bajo,FARO1
Faros activados en bajo,FARO1
Focos activados en bajo,FARO1
Luz tenue activada,FARO1
Faros al mínimo,FARO1
Ilumina el camino en bajo,FARO1
Prende la luz frontal en bajo,FARO1
Prende las luces delanteras en bajo,FARO1
Activa las luces en bajo,FARO1
Faros encendidos en intensidad baja,FARO1
Luz frontal baja activada,FARO1
Activa la iluminación en bajo,FARO1
Prende los focos en bajo,FARO1
Luz frontal tenue activada,FARO1
Por favor prende los faros en bajo,FARO1
Pon las luces delanteras en bajo,FARO1
Configura los faros en bajo,FARO1
Deja los faros en bajo,FARO1
Faros funcionando en bajo,FARO1
Enciende los faros delanteros en bajo,FARO1
Prende los faros para iluminación baja,FARO1
Luz delantera con brillo tenue,FARO1
Faros delanteros en modo bajo,FARO1
Activa las luces frontales en baja intensidad,FARO1
Coloca las luces en modo bajo,FARO1
Faros listos en bajo,FARO1

Prende los faros en alto,FARO2
Enciende los faros en alto,FARO2
Activa los faros en alto,FARO2
Pon los faros en alto,FARO2
Faros en alto activados,FARO2
Faros al máximo,FARO2
Enciende las luces altas,FARO2
Prende las luces delanteras en alto,FARO2
Luz alta activada,FARO2
Activa las luces altas,FARO2
Luz frontal alta activada,FARO2
Faros iluminando al máximo,FARO2
Ilumina el camino en alto,FARO2
Prende los focos en alto,FARO2
Pon los faros a máxima intensidad,FARO2
Activa la iluminación en alto,FARO2
Faros en intensidad máxima,FARO2
Por favor activa los faros en alto,FARO2
Configura los faros en alto,FARO2
Ilumina completamente con los faros,FARO2
Faros delanteros a máxima potencia,FARO2
Enciende la luz frontal en alto,FARO2
Activa la luz delantera con intensidad alta,FARO2
Coloca los faros en máxima intensidad,FARO2
Faros delanteros encendidos en alto,FARO2
Modo iluminación alta activado,FARO2
Aumenta la potencia de los faros,FARO2
Luz delantera en modo alto,FARO2

Apaga los faros,FARO0
Faros apagados,FARO0
Desactiva los faros,FARO0
Luz delantera apagada,FARO0
Apaga la iluminación delantera,FARO0
Apaga la luz del frente,FARO0
Desconecta las luces delanteras,FARO0
Cierra los faros,FARO0
Focos apagados,FARO0
Pon los faros en off,FARO0
Apaga las luces delanteras,FARO0
Desactiva completamente los faros,FARO0
Faros en estado apagado,FARO0
Deja los faros apagados,FARO0
Apaga todas las luces delanteras,FARO0
Faros delanteros fuera de servicio,FARO0
Corta la energía de los faros,FARO0
Desconecta la iluminación delantera,FARO0
Faros desactivados por completo,FARO0
Luz delantera fuera de servicio,FARO0

Apaga las luces de los pasajeros,LUZ0
Desactiva las luces de los pasajeros,LUZ0
Apaga la luz interior,LUZ0
Luz interior apagada,LUZ0
Cierra la luz de los pasajeros,LUZ0
Apaga las luces interiores,LUZ0
Apaga la luz de cabina,LUZ0
Luz de cabina apagada,LUZ0
Desactiva la luz interior,LUZ0
Luz interior off,LUZ0
Cierra la iluminación de los pasajeros,LUZ0
Pon la luz interior en off,LUZ0
Desconecta las luces de la cabina,LUZ0
Luz de los pasajeros desactivada,LUZ0
Desactiva la iluminación interna,LUZ0
Deja la luz de los pasajeros apagada,LUZ0
Apaga las luces internas de la cabina,LUZ0
Luz interna fuera de servicio,LUZ0

Enciende las luces de los pasajeros,LUZ1
Prende la luz interior,LUZ1
Luz interior encendida,LUZ1
Activa la luz de los pasajeros,LUZ1
Luz de cabina encendida,LUZ1
Prende las luces interiores,LUZ1
Enciende la luz de cabina,LUZ1
Luz interior on,LUZ1
Luz trasera encendida,LUZ1
Iluminación interior activa,LUZ1
Luz de los pasajeros encendida,LUZ1
Activa la iluminación trasera,LUZ1
Prende la iluminación de los pasajeros,LUZ1
Ilumina la cabina,LUZ1
Pon la luz de los pasajeros,LUZ1
Activa las luces internas,LUZ1
Prende las luces traseras,LUZ1
Configura la luz de los pasajeros en on,LUZ1
Luz interior habilitada,LUZ1
Iluminación interna lista,LUZ1
Conecta la luz de la cabina,LUZ1
Luz interna activa,FARO1

Apaga las luces del conductor,CONDUCTOR0
Desactiva las luces del conductor,CONDUCTOR0
Apaga la luz del conductor,CONDUCTOR0
Luz del conductor apagada,CONDUCTOR0
Cierra la luz del conductor,CONDUCTOR0
Apaga la iluminación del conductor,CONDUCTOR0
Pon la luz del conductor en off,CONDUCTOR0
Desconecta las luces del conductor,CONDUCTOR0
Luz del conductor desactivada,CONDUCTOR0
Apaga todas las luces del conductor,CONDUCTOR0
Iluminación del conductor apagada,CONDUCTOR0
Desactiva la luz de la cabina del conductor,CONDUCTOR0
Corta la energía de la luz del conductor,CONDUCTOR0
Luz del conductor fuera de servicio,CONDUCTOR0
Deja la luz del conductor apagada,CONDUCTOR0
Apaga la luz de cabina del conductor,CONDUCTOR0
Cierra completamente la luz del conductor,CONDUCTOR0
Luz del conductor en estado apagado,CONDUCTOR0

Enciende las luces del conductor,CONDUCTOR1
Prende las luces del conductor,CONDUCTOR1
Activa las luces del conductor,CONDUCTOR1
Luz del conductor encendida,CONDUCTOR1
Ilumina la cabina del conductor,CONDUCTOR1
Luz del conductor activada,CONDUCTOR1
Prende la luz del conductor,CONDUCTOR1
Enciende la luz de cabina del conductor,CONDUCTOR1
Iluminación del conductor activa,CONDUCTOR1
Pon la luz del conductor en on,CONDUCTOR1
Activa la iluminación del conductor,CONDUCTOR1
Conecta las luces del conductor,CONDUCTOR1
Configura la luz del conductor en encendido,CONDUCTOR1
Luz del conductor habilitada,CONDUCTOR1
Luz interna del conductor encendida,CONDUCTOR1
Por favor enciende la luz del conductor,CONDUCTOR1
Luz de cabina del conductor activada,CONDUCTOR1
Activa completamente la luz del conductor,CONDUCTOR1

Apágame los faros en bajo,FARO1
Préndeme los faros en bajo,FARO1
Actívame los faros en bajo,FARO1
Ponme los faros en bajo,FARO1
Enciéndeme los faros en bajo,FARO1
Préndeme las luces delanteras en bajo,FARO1
Actívame las luces delanteras en bajo,FARO1
Ilumíname el camino en bajo,FARO1
Configúrame los faros en bajo,FARO1
Déjame los faros en bajo,FARO1
Ponme las luces delanteras en bajo,FARO1
Enciéndeme los focos en bajo,FARO1
Préndeme la luz frontal en bajo,FARO1
Actívame los faros en baja intensidad,FARO1
Préndeme los faros a baja potencia,FARO1
Apágame los faros delanteros en baja intensidad,FARO1
Ponme los faros delanteros en baja,FARO1
Déjame los faros en mínima intensidad,FARO1

Apágame los faros en alto,FARO2
Préndeme los faros en alto,FARO2
Actívame los faros en alto,FARO2
Ponme los faros en alto,FARO2
Enciéndeme los faros en alto,FARO2
Configúrame los faros en alto,FARO2
Déjame los faros en alto,FARO2
Ilumíname el camino en alto,FARO2
Ponme las luces delanteras en alto,FARO2
Préndeme las luces delanteras en alto,FARO2
Actívame las luces delanteras en alto,FARO2
Enciéndeme la luz frontal en alto,FARO2
Ilumíname con los faros en alto,FARO2
Préndeme los focos a máxima intensidad,FARO2
Ponme los faros a máxima potencia,FARO2
Enciéndeme los faros con luz intensa,FARO2
Apágame los faros delanteros en alta intensidad,FARO2
Déjame los faros a máxima luminosidad,FARO2

Apágame los faros,FARO0
Desactívame los faros,FARO0
Ponme los faros en off,FARO0
Cierra los faros por mí,FARO0
Déjame los faros apagados,FARO0
Desconéctame las luces delanteras,FARO0
Apágame todas las luces delanteras,FARO0
Corta la energía de los faros,FARO0
Apágame los faros delanteros,FARO0
Desactívame la luz frontal,FARO0
Apágame las luces delanteras completamente,FARO0
Ponme los faros en modo apagado,FARO0
Faros apagados completamente,FARO0
Apágame todas las luces frontales,FARO0
Desactiva las luces delantera por completo,FARO0

Apágame las luces de los pasajeros,LUZ0
Desactívame las luces de los pasajeros,LUZ0
Ponme la luz interior en off,LUZ0
Ciérrame la iluminación de los pasajeros,LUZ0
Apágame la luz de cabina,LUZ0
Déjame la luz de los pasajeros apagada,LUZ0
Desconéctame la luz interior,LUZ0
Apágame la luz trasera,LUZ0
Apágame todas las luces internas,LUZ0
Ponme las luces interiores en modo apagado,LUZ0
Apágame la luz interior por favor,LUZ0
Desactívame la luz de los pasajeros completamente,LUZ0
Ponme la luz interior en estado apagado,LUZ0
Ciérrame toda la iluminación de la cabina,LUZ0

Enciéndeme las luces de los pasajeros,LUZ1
Préndeme la luz interior,LUZ1
Actívame la luz de los pasajeros,LUZ1
Ponme la luz de los pasajeros,LUZ1
Préndeme la iluminación trasera,LUZ1
Configúrame la luz de los pasajeros en encendido,LUZ1
Ilumíname la cabina con las luces interiores,LUZ1
Déjame las luces de los pasajeros encendidas,LUZ1
Actívame las luces internas del vehículo,LUZ1
Ponme las luces interiores en encendido,LUZ1
Préndeme la luz de cabina,LUZ1
Enciéndeme las luces traseras,LUZ1
Préndeme todas las luces interiores,LUZ1
Actívame las luces internas,LUZ1
Ilumíname toda la cabina con luz,LUZ1
Configúrame la iluminación interna,LUZ1
Déjame las luces traseras encendidas,LUZ1

Apágame las luces del conductor,CONDUCTOR0
Desactívame las luces del conductor,CONDUCTOR0
Cierra por mí la luz del conductor,CONDUCTOR0
Déjame la luz del conductor apagada,CONDUCTOR0
Ponme la luz del conductor en off,CONDUCTOR0
Apágame completamente la luz del conductor,CONDUCTOR0
Desconéctame la luz del conductor,CONDUCTOR0
Ponme la luz del conductor fuera de servicio,CONDUCTOR0
Corta la energía de la luz del conductor,CONDUCTOR0
Desactívame la luz delantera del conductor,CONDUCTOR0
Apágame la luz en la cabina del conductor,CONDUCTOR0

Enciéndeme las luces del conductor,CONDUCTOR1
Préndeme las luces del conductor,CONDUCTOR1
Actívame la luz del conductor,CONDUCTOR1
Ponme la luz del conductor en on,CONDUCTOR1
Ilumíname la cabina del conductor,CONDUCTOR1
Configúrame la luz del conductor en encendido,CONDUCTOR1
Préndeme las luces internas del conductor,CONDUCTOR1
Déjame la luz del conductor encendida,CONDUCTOR1
Actívame la luz del conductor completamente,CONDUCTOR1
Ponme la luz del conductor en modo activo,CONDUCTOR1
Enciéndeme la luz de la cabina del conductor,CONDUCTOR1
Ilumíname el espacio del conductor,CONDUCTOR1
Configúrame la luz del conductor para encendido,CONDUCTOR1
Déjame las luces del conductor encendidas,CONDUCTOR1

Enciende los faros en bajo,FARO1
Prende los faros en bajo,FARO1
Activa los faros en bajo,FARO1
Pon los faros en bajo,FARO1
Faros en bajo activados,FARO1
Prende las luces en bajo,FARO1
Luz delantera en bajo,FARO1
Enciende las luces delanteras en bajo,FARO1
Faros activados en bajo,FARO1
Focos activados en bajo,FARO1
Luz tenue activada,FARO1
Faros al mínimo,FARO1
Ilumina el camino en bajo,FARO1
Prende la luz frontal en bajo,FARO1
Prende las luces delanteras en bajo,FARO1
Activa las luces en bajo,FARO1
Faros encendidos en intensidad baja,FARO1
Luz frontal baja activada,FARO1
Activa la iluminación en bajo,FARO1
Prende los focos en bajo,FARO1
Luz frontal tenue activada,FARO1
Por favor prende los faros en bajo,FARO1
Pon las luces delanteras en bajo,FARO1
Configura los faros en bajo,FARO1
Deja los faros en bajo,FARO1
Faros funcionando en bajo,FARO1
Enciende los faros delanteros en bajo,FARO1
Prende los faros para iluminación baja,FARO1
Luz delantera con brillo tenue,FARO1
Faros delanteros en modo bajo,FARO1
Activa las luces frontales en baja intensidad,FARO1
Coloca las luces en modo bajo,FARO1
Faros listos en bajo,FARO1

Prende los faros en alto,FARO2
Enciende los faros en alto,FARO2
Activa los faros en alto,FARO2
Pon los faros en alto,FARO2
Faros en alto activados,FARO2
Faros al máximo,FARO2
Enciende las luces altas,FARO2
Prende las luces delanteras en alto,FARO2
Luz alta activada,FARO2
Activa las luces altas,FARO2
Luz frontal alta activada,FARO2
Faros iluminando al máximo,FARO2
Ilumina el camino en alto,FARO2
Prende los focos en alto,FARO2
Pon los faros a máxima intensidad,FARO2
Activa la iluminación en alto,FARO2
Faros en intensidad máxima,FARO2
Por favor activa los faros en alto,FARO2
Configura los faros en alto,FARO2
Ilumina completamente con los faros,FARO2
Faros delanteros a máxima potencia,FARO2
Enciende la luz frontal en alto,FARO2
